date_saisie,platfo,url,nro_id,ed,etab_aut_aff,tit,exist_trail,charge_trav_MOY,exist_syll,nbr_sem,sem_zero,expli_objectif,expli_objectif_txt,publ_expli_pres,cat_publ_pres,ENG,prereq_expli,publ_expli_pres_txt,etud,pro,gp,prereq_expli_txt,prereq_expli_techn,prereq_expli_connais,expli_zero_prereq,detail_nfp,prereq_expli_RF,prereq_expli_RNF,prereq_expli_RC,nbr_etab_contr,taille_equipe,nbr_PERSCLEF,nbr_MC,nbr_PU,nbr_chercheur,nbr_POST,nbr_ETUD,nbr_expert_extérieur,nbr_lien_rés,exist_eval,eval_txt,exist_attest,attest_formel,parcours,cond_util
04/03/2016,FUN,https://www.fun-mooc.fr/courses/MinesTelecom/04005S03/session03/about,04005S03,3,MinesTelecom,Soyez acteurs du web!,OUI,2,OUI,6,NON,NON,NA,OUI,NDP,NON,OUI,"Ce MOOC s’adresse en priorité aux usagers quotidiens de l’internet qui souhaiteraient connaître les rouages du web, pour peut-être y trouver leur futur métier ou loisir. Il reste accessible au grand public et à toute personne désireuse d’en savoir plus sur le web et son fonctionnement pour y être encore plus actif.",NON,NON,OUI,"Prérequis
Il n’y a pas de prérequis techniques importants pour suivre ce MOOC. Il aborde de manière simple à la fois des usages courants du web et les techniques associées. Il faut simplement être habitué à utiliser son ordinateur, comme par exemple installer un logiciel ou savoir se déplacer dans les répertoires. Il est tout aussi souhaitable de savoir naviguer sur le web et être curieux de connaître son fonctionnement.

Le MOOC « Soyez Acteurs du web ! » se positionne en prérequis ou préambule d’un ensemble de MOOC déjà ouverts sur la plateforme FUN comme « Introduction à HTML5 - Animations et jeux » du groupe INSA ou tous ceux qui font appel aux technologies du web ou des medias.",OUI,OUI,OUI,GP,NON,OUI,OUI,1,7,7,0,0,6,0,0,1,0,OUI,"Pour chaque approche, un ou deux mini-projets vous seront proposés pour tester vos capacités. Leur évaluation par les pairs servira de support à la délivrance d'une attestation de suivi au terme du MOOC.",OUI,NON,NON,CC-BY-NC-ND
03/03/2016,FUN,https://www.fun-mooc.fr/courses/OBSPM/62001S02/session02/about,62001S02,2,OBSPM,Peser l'Univers,OUI,3,OUI,7,NON,OUI,"A propos du cours
Comment peser l'Univers ? Plus exactement, comment mesurer cette grandeur fondamentale qu'est la masse pour tout objet céleste ?

Ce cours a pour objectif de vous initier aux différentes méthodes utilisées par les astrophysiciens pour mesurer la masse. Ces méthodes seront illustrées pour le Système solaire et jusqu'aux galaxies très lointaines. Ce MOOC sera aussi l'occasion d'aborder quelques recherches actuelles en astrophysique en lien avec cette problématique de mesure des masses dans l'Univers.",OUI,NDP,NON,OUI,"Public
Ce MOOC s'adresse à tout public intéressé par l'astronomie et curieux d'apprendre les techniques utilisées par les astrophysiciens.",NON,NON,OUI,"Prérequis
Des notions de physique, de géométrie et de trigonométrie (niveau bac scientifique) sont fortement recommandées pour suivre ce cours.",NON,OUI,NON,LYC,OUI,NON,NON,3,9,5,1,1,2,1,0,0,0,OUI,"Évaluation
Ce MOOC ne délivre pas de certification mais une attestation pour ceux qui auront suivi le cours jusqu'au bout avec succès. À la fin de chaque chapitre, un test vous sera proposé pour évaluer les savoirs acquis, les apprenants ayant une note moyenne de 70% sur l'ensemble des tests se verront décerné l'attestation.

Un parcours avancé est également proposé, il se compose du parcours classique auquels s'ajoutent des exercices optionnels et des évaluations par les pairs, il est également possible d'obtenir une attestation de suivi avec succès pour ce parcours.",OUI,NON,OUI,CC-BY-NC-SA
03/03/2016,FUN,https://www.fun-mooc.fr/courses/Paris1/16002S02/session02/about,16002S02,2,Paris1,Découper le temps : les périodes de l'histoire,OUI,2,OUI,5,NON,NON,NA,OUI,NDP,NON,OUI,"A qui s'adresse ce MOOC ?
Ce MOOC est destiné à répondre à tous ceux qu'anime une certaine curiosité intellectuelle : tout public intéressé par l’histoire, lycéens s'interrogeant sur leur désir de faire de l'histoire, étudiants passant des épreuves de culture générale ou toute personne soucieuse de reprise d'études ou de formation tout au long de la vie.",OUI,NON,OUI,"Prérequis
Aucun prérequis n’est nécessaire pour suivre ce cours. Ce MOOC peut être suivi à plusieurs niveaux : comme un cours d’introduction à l’histoire ou comme une réflexion sur l’enseignement et l’écriture de l’histoire. Le cours est en français.",NON,NON,OUI,GP,NON,NON,NON,1,5,5,0,5,0,0,0,0,0,OUI,"Evaluation
A la fin de chaque semaine, un questionnaire d'auto-évaluation vous permettra de faire le point sur vos acquis.",NON,NON,NON,LICENCE RESTRICTIVE
04/02/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/Paris2/09004S04/session04/about,09004S04,4,Paris2,Gestion de crise,OUI,4,OUI,5,NON,OUI,"À propos du cours
La crise est partout, elle est à gérer. Cette formation vise à diffuser des savoir-faire de gestion de crise et traite des crises organisationnelles et de catastrophes qui requièrent des modes de résolution hors norme et des moyens conséquents.

Pour Platon, « ce ne sont pas les murs mais les Hommes qui font les remparts de la Cité ». En temps de crise, les décisions à prendre sont capitales, et la communication revêt une importance toute particulière.
Ce cours vise à faire acquérir des savoir-faire spécifiques à la gestion de crise.
Après une présentation de la nature de la crise, il fournit des conseils en matière de communication de crise et donne une méthode de résolution de la crise.
A la fin de ce cours, les participants doivent pouvoir aborder une crise de manière plus sereine.",NON,NDP,NON,OUI,"Pré-requis
Le cours s'adresse à tous. Aucun pré-requis n'est demandé, et il peut être suivi de manière autonome. Néanmoins, un niveau d'études supérieures est conseillé.",NON,NON,OUI,"Pré-requis
Le cours s'adresse à tous. Aucun pré-requis n'est demandé, et il peut être suivi de manière autonome. Néanmoins, un niveau d'études supérieures est conseillé. ",NON,NON,OUI,L1,OUI,NON,NON,2,7,7,0,0,0,0,0,7,0,OUI,"Évaluation
Évaluation hebdomadaire par QCM auto-correctif. Certificat d'assiduité délivré à la fin, selon résultats aux QCM.",OUI,NON,NON,CC-BY-NC-ND
04/02/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/Paris2/09003S02/session02/about,09003S02,2,Paris2,Comprendre l’exercice de la Justice : panorama des institutions juridictionnelles,OUI,3,OUI,11,NON,OUI,"A propos du cours
L'objet de ce cours est d'expliquer les modalités de fonctionnement des diverses juridictions qui sont chargées d'appliquer, ou même parfois de créer, les règles de droit.

Il repose sur 3 études spécifiques: d'abord, l'organisation des juridictions nationales et européennes qui rendent la justice, ensuite le statut et le rôle de tous ceux qui participent au bon fonctionnement de ces juridictions (juges, procureurs, avocats, etc.), enfin, les grands principes qui garantissent au justiciable que ses droits ne vont pas être méconnus, c'est-à-dire les garanties fondamentales d'une bonne justice, telles que l'indépendance des magistrats ou le droit d'accès au juge.

Il se décline en leçons vidéo hebdomadaires, dispensées sur 11 semaines, et accompagnées d'exercices et d'évaluations en ligne.",OUI,NDP,NON,OUI,"Pré-requis
Il s'adresse à tout justiciable potentiel qu'est chaque citoyen.",NON,NON,OUI,"Pré-requis
Il s'adresse à tout justiciable potentiel qu'est chaque citoyen.",NON,NON,OUI,GP,NON,NON,NON,1,1,1,0,1,0,0,0,0,0,OUI,"Evaluation
Ce MOOC ne délivre pas de certificat mais une attestation de suivi avec succès. L'évaluation des compétences acquises durant le MOOC aura lieu en fin de la dernière semaine et se présentera sous la forme d'un QCM.",OUI,NON,NON,CC-BY-NC-ND
04/02/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/Paris2/09005/session01/about,09005,1,Paris2,"Propriété, voisinage, possession, usufruit : mieux connaître le droit des biens",OUI,2,OUI,8,NON,NON,NA,OUI,NDP,NON,OUI,"Pré-requis
Ce Mooc s’adresse ainsi à toutes les personnes qui veulent connaître le droit des biens, c’est à dire le droit de propriété et les autres droits portant directement sur des choses, sans aucun pré-requis.",NON,NON,OUI,"Pré-requis
Ce Mooc s’adresse ainsi à toutes les personnes qui veulent connaître le droit des biens, c’est à dire le droit de propriété et les autres droits portant directement sur des choses, sans aucun pré-requis.",NON,NON,OUI,GP,NON,NON,NON,1,3,3,1,0,0,0,0,2,0,OUI,"Evaluation
Ce MOOC ne délivre pas de certificat mais une attestation de suivi avec succès. L’évaluation des compétences acquises durant le MOOC aura lieu en fin de la dernière semaine et se présentera sous la forme d’un QCM.",OUI,NON,NON,CC-BY-NC-ND
04/02/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/Paris2/09001/Trimestre_1_2014/about,09001,1,Paris2,Dans le secret des rouages de l'Etat occidental: décryptage du droit constitutionnel,OUI,3,OUI,10,NON,NON,"À propos du cours
Il s’agit de donner les clés du fonctionnement d’une grande démocratie occidentale à travers l’étude de concepts fondamentaux (constitutions, institutions, juridictions) par une analyse spécifique de la Cinquième République française.

Véritable introduction au droit constitutionnel, ce cours s’adresse à ceux qui souhaitent devenir des citoyens avertis et comprendre la vie politique, institutionnelle et constitutionnelle dans son application.

Conçu en deux parties, il propose d’abord une présentation des concepts qui fondent le régime politique de la Cinquième République française, puis une analyse exhaustive des institutions qui la composent.

Ce cours s’intéresse directement au fonctionnement de l’État, aux rapports entre les pouvoirs exécutif et législatif, et à la vie politique. Il aborde également les grandes notions du droit constitutionnel (nature et typologique des États, vie et rôles de la Constitution) ainsi que le fonctionnement du contentieux constitutionnel et du système juridictionnel dans la régulation des institutions et la garantie des droits fondamentaux.

Format : le cours se décline en 5 leçons vidéo hebdomadaires de 20 minutes, dispensées sur 10 semaines. Il s’accompagne de supports pédagogiques en ligne (documents divers, exercices, échanges, évaluations).",NON,NDP,NON,NON,NA,NA,NA,NA,NA,NA,NA,NA,GP,NA,NA,NA,1,2,2,0,1,0,1,0,0,0,OUI,"Format : le cours se décline en 5 leçons vidéo hebdomadaires de 20 minutes, dispensées sur 10 semaines. Il s’accompagne de supports pédagogiques en ligne (documents divers, exercices, échanges, évaluations).",NON,NON,NON,LICENCE RESTRICTIVE
04/02/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/Paris2/09002/Trimestre_1_2014/about,09002,1,Paris2,Aux origines de notre système juridique: histoire du droit et des institutions,OUI,3,OUI,12,NON,NON,"À propos du cours
Il s’agit de retracer les grandes étapes de formation de l’Etat, de l’Antiquité à l’époque moderne, dans le but de mieux comprendre notre droit constitutionnel mais aussi nos structures administratives, judiciaires et financières.

Ce cours constitue une première approche de l’histoire du droit et des institutions.

Accessible à tous, aussi bien aux novices qu’aux passionnés d’histoire et de droit, il déroule les principaux moments de la construction de l’Etat : l’Antiquité, avec l’apparition de la notion de res publica et la mise en place des structures politiques et administratives à travers la Gaule ; le Moyen Age, avec le renouveau de la notion d’Etat, notamment grâce à la renaissance du droit romain au XIIème siècle puisque les juristes utiliseront le droit romain ou encore la philosophie d’Aristote ; les temps modernes, avec la constitution progressive de l’Etat tel que nous le connaissons aujourd’hui.

Format : le MOOC se décline en leçons vidéo hebdomadaires, dispensées sur 12 semaines, et accompagnées d’exercices et d’évaluations en ligne.",OUI,NDP,NON,OUI,"Accessible à tous, aussi bien aux novices qu’aux passionnés d’histoire et de droit, il déroule les principaux moments de la construction de l’Etat",NON,NON,OUI,"Accessible à tous, aussi bien aux novices qu’aux passionnés d’histoire et de droit, il déroule les principaux moments de la construction de l’Etat",NON,NON,OUI,GP,NON,NON,NON,1,1,1,1,0,0,0,0,0,0,OUI,"Format : le MOOC se décline en leçons vidéo hebdomadaires, dispensées sur 12 semaines, et accompagnées d’exercices et d’évaluations en ligne.",NON,NON,NON,LICENCE RESTRICTIVE
04/02/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/parisdiderot/56001/session01/about,56001,1,parisdiderot,Gravité! Du Big Bang aux Trous Noirs,OUI,2,OUI,6,NON,NON,"A propos du cours
La gravité, qu’est-ce que c’est ? Le thème, si présent ces temps derniers dans les films d’Hollywood, est le fil rouge entre des concepts aussi intrigants que le Big Bang, les trous noirs, l’énergie sombre, l’espace-temps, les ondes gravitationnelles, l’expansion de l’Univers.

Si ces questions vous intéressent, ce cours vous est destiné. Il ne demande pas de connaissances particulières en physique, juste de la curiosité pour comprendre notre Univers et la place que nous y occupons.

La théorie de la gravité, la relativité générale d’Einstein, a tout juste 100 ans. Ce cours vous présentera de façon simple les principales idées derrière cette théorie avant de vous expliquer pourquoi la gravité « est le moteur de l’Univers ». Les notions de base seront ensuite introduites pour comprendre pourquoi l’Univers est en expansion, pourquoi voir loin c’est voir dans le passé, comment peut-on bien savoir ce qui s’est passé juste après le Big Bang, ce que sont les composantes sombres de l’Univers, pourquoi attend-on impatiemment la découverte des ondes gravitationnelles, et ce qui se passe quand on traverse l’horizon d’un trou noir.

Le cours est assuré par Pierre Binétruy de l’Université Paris Diderot. Le cosmologue George Smoot participe à ce cours et vous expliquera les découvertes pour lesquelles on lui a décerné le Prix Nobel. Marie-Odile Monchicourt, journaliste scientifique posera chaque semaine les questions que vous aviez sur les lèvres.",OUI,NDP,NON,OUI,"A qui s'adresse ce cours?
« Gravité! Du Big Bang aux Trous Noirs » s’adresse à un public large désireux de mieux comprendre les questions fondamentales liées à l’exploration de l’Univers dans ses dimensions les plus grandes ou les plus microscopiques. Il est destiné à la communauté francophone mondiale.",NON,NON,OUI,"Pré-requis
« Gravité! Du Big Bang aux Trous Noirs » s’adresse au grand public et donc ne requiert aucun pré-requis. Il vise à apporter une meilleure compréhension des concepts, des questions et des méthodes utilisées pour y répondre.",NON,NON,OUI,GP,NON,NON,NON,COLLECTIF,2,2,0,2,0,0,0,0,0,OUI,"Evaluation
Chaque semaine, un QCM vous permettra de tester votre compréhension du cours.

Quelques problèmes, avec correction par les pairs, sont envisagés pour vous permettre d’aborder quelques questions plus en profondeur.

Un forum de discussion et des sessions interactives seront organisés avec les enseignants et des animateurs dédiés.

Les retours hebdomadaires aux principales questions des forums, se font en direct par hangout. Une épreuve terminale de type QCM, permettra l’obtention de l’attestation de suivi avec succès.

",OUI,NON,NON,LICENCE RESTRICTIVE
03/03/2016,FUN,https://www.fun-mooc.fr/courses/SciencesPo/05004S02/Trimestre_1_2015/about,05004S02,2,SciencesPo,Scientific Humanities,OUI,3,OUI,8,NON,OUI,"The course provides concepts and methods to :

learn the basics of the field called “science and technology studies”, a vast corpus of literature developed over the last forty years to give a realistic description of knowledge production
handle the flood of different opinions about contentious issues and order the various positions by using the tools now available through digital media
comment on those different pieces of news in a more articulated way through a specifically designed blog.
",OUI,NDP,OUI,OUI,"Who can attend this course ?
The course is designed for undergraduates but since the topic of scientific humanities is not widely known, it will be of interest for graduates and for the general public as well. It does not require a degree in science and technology. ",OUI,NON,OUI,"Who can attend this course ?
The course is designed for undergraduates but since the topic of scientific humanities is not widely known, it will be of interest for graduates and for the general public as well. It does not require a degree in science and technology.",NON,NON,OUI,GP,NON,NON,NON,1,1,1,0,1,0,0,0,0,0,OUI,"The course is available in english and the assignments must be done in English.

",NON,NON,NON,LICENCE RESTRICTIVE
03/03/2016,FUN,https://www.fun-mooc.fr/courses/ubourgogne/82001/session01/about,82001,1,ubourgogne,Digital Culture and Writing - Culture et Ecriture Numériques,OUI,2,OUI,6,NON,OUI,"Objectifs et finalités du MOOC DCW
L'objectif principal est de rendre accessible la culture numérique et de dédramatiser les aspects techniques. Le MOOC DCW vous permettra également : d'acquérir une distance critique par rapport à vos pratiques,de vous (ré) orienter vers de nouveaux usages, de comprendre cette nouvelle culture. A la fin de ce MOOC, vous acquerrez un large aperçu réflexif et analytique qui nourrira votre propre culture numérique. Vous serez capables de mieux créer et partager sur le web à l'aide des notions élémentaires, des outils et astuces simples donnés par les enseignants. Vous aurez repéré et apprécié différents logiciels et services en ligne utiles à l'organisation d'un projet numérique.",NON,NDP,NON,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,11,2,2,2,4,0,1,0,OUI,"Evaluation
Le mode d'évaluation retenue est l'auto-évaluation",NON,NON,OUI,CC-BY-NC-SA
