Provider;Country;Duration;Workload;Examination;Certificate;Languaage;Date;Subject;Tags;Subtitles;Course.name;NA
Miríada X;Dominican Republic;6 Weeks;5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;Spanish;To Be Announced;Dominio de los conceptos y procedimientos sobre la administración de procesos. Conocimientos básicos en el uso y manejo de computadora. Conocimientos básicos de informática;Business & ManagementInformation, Technology, and Design;BusinessInformation SystemsManagementTechnology;Informática Gerencial (Miríada X);Universidad Abierta Para Adultos
Coursera;USA;6 Weeks;5-7 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;No sessions available;The course is designed for students interested in learning about the business-legal aspects of entrepreneurship regardless of educational background.;Business & ManagementLaw;BusinessLawEntrepreneurEntrepreneurship;Law and the Entrepreneur (Coursera);Northwestern University
Coursera;USA;3 Weeks;Self study;No Exam or Final Project;Yes, Verified Certificate (Paid);English;Dec 15th 2015;No background is required;;;;
edX;USA;4 Weeks;2-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Dec 15th 2015;"""Statistics and R for the Life Sciences""  and ""Introduction to Linear Models and Matrix Algebra"" or basic programming, intro to statistics, intro to linear algebra";Biology & Life SciencesStatistics & Data Analysis;StatisticsLife SciencesStatistical ModelingEmpirical Bayes;Data Analysis for Life Sciences 3: Statistical Inference and Modeling for High-throughput Experiments (edX);Harvard University
edX;Hong Kong;4 Weeks;2-4 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Nov 22nd 2015;Humanities;EnglishWorkJob InterviewJob ApplicationsCareerOnline InterviewsInterviewReferees;English;English at Work in Asia: Preparing for a Job Interview (edX);The Hong Kong Polytechnic University
edX;USA;4 Weeks;2-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Nov 15th 2015;Basic math, basic stats and R programming OR PH525.1x.;Biology & Life SciencesStatistics & Data Analysis;Linear ModelsAlgebraMatrixData AnalysisLinear Algebra;Data Analysis for Life Sciences 2: Introduction to Linear Models and Matrix Algebra (edX);Harvard University
Coursera;USA;8 Weeks;6-10 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Nov 15th 2015;No background is required beyond an enthusiasm for biology and a willingness to immerse oneself in learning how to program.;Biology & Life SciencesComputer Science: Programming & Software EngineeringComputer Science: TheoryInformation, Technology, and DesignMathematics;AlgorithmsBiologyProgrammingGenome SequencingBioinformatics;Algorithms, Biology, and Programming for Beginners (Coursera);University of California, San Diego
Coursera;USA;3 Weeks;Self study;No Exam or Final Project;Yes, Verified Certificate (Paid);English;Nov 15th 2015;No background is required;;;;
NovoEd;USA;4 Weeks;No information;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Nov 12th 2015;Personal & Professional DevelopmentSocial Sciences;InnovationSocial ChangeSocial Impact;Lean Principles for Social Impact (NovoEd);Lean Principles for Social Impact (NovoEd);#NOM?
NovoEd;USA;4 Weeks;1-2 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Nov 11th 2015;Business & ManagementSocial Sciences;Social ImpactLean Data;Lean Data Approaches to Measure Social Impact (NovoEd);Lean Data Approaches to Measure Social Impact (NovoEd);#NOM?
edX;USA;6 Weeks;12 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Nov 11th 2015;"Classical mechanics (or statics). Chemistry at the first-year university level. Differential equations. ""Mechanical Behavior of Materials, Part 1: Linear Elastic Behavior"" and ""Mechanical Behavior of Materials, Part 2: Stress Transformations, Beams, Colum";Engineering;Mechanical BehaviorMaterialsViscoelasticityPlasticity;Mechanical Behavior of Materials, Part 3: Time Dependent Behavior and Failure (edX);MIT
iversity;Germany;10 Weeks;4-6 hours/week;No Exam and/or Final Project information;No Certificate;English;Nov 10th 2015;Mathematics and Physics knowledge of at least secondary education level as well as programming knowledge is a prerequisite. ;Computer Science: Programming & Software EngineeringEngineering;ModelingSimulationMatlabProgramming;Modelling and Simulation using MATLAB (iversity);Hochschule RheinMain - Wiesbaden Rüsselsheim
Coursera;Hong Kong;4 Weeks;3-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Nov 10th 2015;No requirements. Everyone is welcome.;HumanitiesSocial Sciences;ChinaChinese History;Understanding China, 1700-2000: A Data Analytic Approach, Part 2 (Coursera);The Hong Kong University of Science and Technology
Coursera;USA;5 Weeks;4-6 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Nov 9th 2015;Previous or current language teaching experience is desirable, but not necessary to take this course.;EducationTeacher Professional Development;EducationTeach EnglishEnglishLanguage;Shaping the Way We Teach English, 2: Paths to Success in ELT (Coursera);University of Oregon
iversity;Germany;5 Weeks;2-5 hours/week;Yes, Paid Exam and/or Final Project;Yes, Verified Certificate (Paid);German;Nov 9th 2015;Du brauchst kein Vorwissen, um erfolgreich am Kurs teilzunehmen. ;Energy & Earth SciencesSocial Sciences;Climate Change;Klimawandel und seine Folgen (iversity);Deutsches Klima-Konsortium (DKK)
Other Providers;Spain;2 Weeks;5 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Nov 5th 2015;Marketing & Communication;MarketingGrowth Hacking;Cómo implementar una estrategia Growth Hacking (OpenIEBS);Cómo implementar una estrategia Growth Hacking (OpenIEBS);OpenIEBS
edX;Argentina;Self Paced;2 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);Spanish;Nov 4th 2015;Los alumnos que asistan al curso deben tener conocimientos en:  Matemática. Dibujo técnico y lectura de planos. Manipulación de instrumentos de medición.;Engineering;CNCComputer Numerical ControlEngineering;Introducción al Control Numérico por Computadora | Introduction to Computer Numerical Control (edX);TenarisUniversity
iversity;Greece;8 Weeks;5-7 hours/week;Yes, Paid Exam and/or Final Project;Yes, Verified Certificate (Paid);English;Nov 4th 2015;You do not need to be prepared. You need to be excited! Let the course experience lead you to more creative ideas.;Art, Architecture, and Design;Digital ArtCreativityInnovationPhotographyVideo Art;Digital Arts (iversity);Technoplus Business Seminars
openSAP;Germany;5 Weeks;6-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Nov 3rd 2015;Basic understanding of SAP HANA Cloud Platform. Participation in the openSAP course Introduction to SAP HANA Cloud Platform. Participation in the openSAP course Next Steps in SAP HANA Cloud Platform. Basic programming skills.;Business & ManagementInformation, Technology, and Design;BusinessEnterpriseSAP HANACloudDevelopmentManagementCustomer Relationship;Extending SAP Products with SAP HANA Cloud Platform (openSAP);SAP
Canvas Network;France;6 Weeks;2-4 hours/week;No Exam and/or Final Project information;No, Open Badges;French;Nov 2nd 2015;This course is intended primarily for students in engineering school or managers, already employed, but also more broadly to anyone who might be interested in this topic.;Business & ManagementHealth & Society;HealthSafetyWorkJobWorking ConditionsBusiness;impAct de la décision sur la santé et la sécurité au travail (Canvas.net);Mines-Nantes
Other Providers;Spain;6 Weeks;4 hours/week;No Exam or Final Project;No Certificate;Spanish;Nov 2nd 2015;Computer Science: Programming & Software Engineering;ScratchProgramming; Programacion para todos con Scratch (UOC); Programacion para todos con Scratch (UOC);Universitat Oberta de Catalunya
openSAP;Germany;1 Week;2-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Nov 2nd 2015; You should have a fundamental understanding of SAP NetWeaver, operating systems and databases, and a desire to learn more.;Business & ManagementComputer Science: Systems, Security, Networking;BusinessSAPSystem UpgradesIT Integration;SAP NetWeaver Upgrades in a Nutshell (openSAP);SAP
iversity;Italy;8 Weeks;4-7 hours/week;Yes, Paid Exam and/or Final Project;Yes, Verified Certificate (Paid);English;Nov 2nd 2015;In terms of prior knowledge, there is nothing required. ;Personal & Professional Development;Design;Design 1o1 Redux - Part 1: Myself (iversity);Abadir Fine Arts Academy
openHPI;Germany;7 Weeks;3-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Nov 2nd 2015;Computer Science: Systems, Security, NetworkingEngineeringInformation, Technology, and Design;World Wide WebTechnologySemantic WebEngineering;Knowledge Engineering with Semantic Web Technologies (openHPI);Knowledge Engineering with Semantic Web Technologies (openHPI);Hasso-Plattner-Institut
Canvas Network;Belgium;8 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Nov 2nd 2015;Participants in this course should have a thorough knowledge of at least one of the languages and literatures taught in the programme and have acquired scientific skills in the domain of literary studies. Participants should have an interest in literature;HumanitiesLanguages & Literature;LiteratureEuropeCultureLiterary;Literature and Change in Europe (Canvas.net);LACE University Network
edX;Belgium;6 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Nov 2nd 2015;The course Louv1.1x, or equivalent. ;Computer Science: Programming & Software EngineeringEngineering;Data AbstractionConcurrencyProgrammingDeclarative DataflowObject-Oriented;Louv1.2x: Paradigms of Computer Programming - Abstraction and Concurrency (edX);Université Catholique de Louvain (UCL)
Canvas Network;United Kingdom;5 Weeks;3 hours/week;No Exam and/or Final Project information;No certificate information;English;Nov 2nd 2015;EducationTeacher Professional Development;LearningEducationBehaviorBehavior ManagementTeaching;Managing Behaviour for Learning (Canvas.net);Managing Behaviour for Learning (Canvas.net);National Science Learning Centre (UK)
iversity;Germany;Self Paced;Self study;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Nov 2nd 2015;This is an introductory course. Previous knowledge is not required. The course is designed for people interested in understanding and/or designing societal change.;EducationSocial Sciences;Social Innovation;Social Innovation MOOC (EN) (iversity);EBS Universität für Wirtschaft und Recht
Canvas Network;Belgium;4 Weeks;3-4 hours/week;No Exam and/or Final Project information;No, Open Badges;English;Nov 2nd 2015;None. Intended Audience: Youth and youth organization leaders;EducationPersonal & Professional Development;ErasmusYouthEuropean Union;Erasmus+ Funding Opportunities for Youth (Canvas net);SALTO-YOUTH
Canvas Network;USA;4 Weeks;1-2 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Nov 2nd 2015;Students must have an earned a 3.0 or better in a masters program from a regionally accredited institution of higher education.;EducationPersonal & Professional Development;ReadinessCritical ThinkingDoctorate;Determine Your Readiness for Doctoral Studies (Canvas net);Keiser University
Other Providers;Ireland;3 Weeks;10 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Starts late November 2015;No specific background is required.  If you have a hungry mind ... then you are most welcome on this course.;Medicine & Pharmacology;PharmaceuticalMedicineManufacturing;Introduction to Pharmaceutical Manufacturing Technologies (DIT);Dublin Institute of Technology
Miríada X;Spain;5 Weeks;2 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;Spanish;Oct 30th 2015; Este programa está dirigido a cualquier persona que tenga la responsabilidad de liderar o facilitar el cambio: ejecutivos, personas del mundo académico o de la consultoría o cualquier persona inmersa en un proceso de cambio a nivel personal o profesional;Personal & Professional Development;Leadership;Leadership for Change / Liderazgo en tiempos de cambio (Miríada X);Universitas Telefónica
openSAP;Germany;1 Week;2-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Oct 28th 2015;You need no previous knowledge or technical background to participate in this course.;Business & ManagementInformation, Technology, and Design;EnterpriseBusinessSAPSAP HANA;SAP Business Suite 4 SAP HANA in a Nutshell (openSAP);SAP
FUN;France;4 Weeks;4 hours/week;No Exam or Final Project;No Certificate;French;Oct 28th 2015;Ce MOOC donne les clés pour comprendre et être acteur du monde numérique.;Business & Management;EntrepreneurshipInnovationDigital World; Innover et entreprendre dans un monde numérique (FUN);Institut Mines-Telecom
NovoEd;USA;4 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Oct 27th 2015; The course: Design Kit: The Course for Human-Centered Design;Personal & Professional DevelopmentSocial Sciences;PrototypingPrototypeDesign; Design Kit: Prototyping (NovoEd);#NOM?
Coursera;USA;11 Weeks;2-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 27th 2015;There are no pre-requisites for this course.  We avoid any advanced mathematics. You can do the entire class using a web browser.  ;Computer Science: Programming & Software EngineeringInformation, Technology, and Design;ProgrammingPython;Programming for Everybody (Python) (Coursera);University of Michigan
openSAP;Germany;6 Weeks;4-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Oct 27th 2015;basic programming knowledge including HTML and Java Script.;Business & ManagementComputer Science: Programming & Software Engineering;BusinessDevelopmentCodingApplications DevelopmentMobility;Developing Mobile Apps with SAP HANA Cloud Platform (openSAP);SAP
Coursera;Switzerland;7 Weeks;5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);French;Oct 26th 2015;Il n’y a pas de prérequis pour vous inscrire. Il faut juste s’intéresser à la conservation de la nature en Afrique !;Social Sciences;Protected AreasConservationAfricaReservesNatureNature Conservation;Gestion des aires protégées en Afrique (Coursera);École Polytechnique Fédérale de Lausanne
Canvas Network;USA;5 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Oct 26th 2015;EducationInformation, Technology, and DesignTeacher Professional Development;AccessibilityTeacher EducationEducationWebWeb Accessibility; Web Accessibility MOOC for Educators (Canvas net); Web Accessibility MOOC for Educators (Canvas net);Colorado Community College System
FutureLearn;United Kingdom;3 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 26th 2015;This course is designed for anyone applying for jobs or courses. It will be of particular interest to those in the early stages of their career, or those who are out of practice and need to update their skills. No prior knowledge or expertise are needed.;Information, Technology, and DesignPersonal & Professional Development;WritingCurriculumApplicationsSkillsCV Writing;How to Succeed at: Writing Applications (FutureLearn);The University of Sheffield
FutureLearn;United Kingdom;6 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 26th 2015;This course is aimed at anyone who wishes to understand more about psychology, about mental health or who wishes to maintain their own mental health and well-being. No previous experience is required.;Health & SocietySocial Sciences;PsychologyMental HealthHealthBehaviorEmotions;Psychology and Mental Health: Beyond Nature and Nurture (FutureLearn);University of Liverpool
Canvas Network;USA;4 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Oct 26th 2015;EducationTeacher Professional Development;LearningEducationPrior Learning;Prior Learning Assessment for Educators and Industry (Canvas.net);Prior Learning Assessment for Educators and Industry (Canvas.net);Colorado Community College System
FutureLearn;United Kingdom;3 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 26th 2015;No previous knowledge or experience is required, just an interest in the war and how it has shaped culture and society in Britain, France and Germany over the last hundred years.;Humanities;First World WarWW1WarHistoryHeroism;World War 1: Changing Faces of Heroism (FutureLearn);University of Leeds
FutureLearn;United Kingdom;3 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 26th 2015;The course will be of relevance to those who enjoy the study of biology and are interested in medicine. Secondary or High school-level knowledge of science is sufficient to complete this course. ;Health & SocietyMedicine & Pharmacology;Liver DiseaseLiverMedicineHealth;Liver Disease: Looking After Your Liver (FutureLearn);University of Birmingham
FutureLearn;United Kingdom;2 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 26th 2015;No prior knowledge of the subject area is required. This course has relevance across the world.;Education;CharacterEducationCharacter EducationVirtues;What is Character? Virtue Ethics in Education (FutureLearn);University of Birmingham
FUN;France;7 Weeks;3 hours/week;No Exam or Final Project;No Certificate;French;Oct 26th 2015;Ce cours ne nécessite pas de prérequis particulier mais un intérêt pour les sujets liés à l’économie, le marché, les entreprises, la question de l’innovation et de sa diffusion.;Economics & FinanceInformation, Technology, and Design;InnovationEconomicsTechnological Innovations; Introduction à l'économie de l'innovation (FUN);Université de Bordeaux
FutureLearn;United Kingdom;6 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 26th 2015;This course doesn’t require any existing specialist film-making skills or equipment, though there will be extension activities if you want to enhance your learning experience.;Art, Architecture, and DesignMusic, Film & Audio;FilmmakingScriptScreenFilmmakerWritingCinematographySceneStorytelling;Explore Filmmaking: from Script to Screen (FutureLearn);National Film and Television School (NFTS)
Coursera;Switzerland;7 Weeks;5-7 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);French;Oct 23rd 2015;"Connaissances de base en programmation Java (variables, types, boucles, fonctions).  Ce cours constitue la suite du cours ""Introduction à la programmation (en Java)"".";Computer Science: Programming & Software Engineering;ProgrammingJavaObject-Oriented;Introduction à la programmation orientée objet (en Java) (Coursera);École Polytechnique Fédérale de Lausanne
FUN;France;6 Weeks;5 hours/week;No Exam or Final Project;No Certificate;French;Oct 22nd 2015;Information, Technology, and Design;IPv6TechnologyInternet; Objectif IPv6 : vers l'internet nouvelle génération (FUN); Objectif IPv6 : vers l'internet nouvelle génération (FUN);Institut Mines-Telecom
edX;Belgium;6 Weeks;3-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;French;Oct 22nd 2015;Art, Architecture, and DesignHumanitiesSocial Sciences;Anthropology;French;Découvrir l'anthropologie (edX);Université Catholique de Louvain (UCL)
edX;China;10 Weeks;3-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Self Paced ;Calculus, or higher mathematics. Theoretical mechanics helpful.;EngineeringMathematicsPhysics;HydraulicsEngineeringHydrostaticsHydrokinematicsHydrodynamics;Hydraulics 水力学 (edX);Tsinghua University
edX;USA;9 Weeks;3-5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Oct 21st 2015;Business & ManagementSocial Sciences;Government;English;Making Government Work in Hard Places (edX);Princeton University
edX;Netherlands;7 Weeks;6-9 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Oct 21st 2015;High School physics and basic knowledge of calculus (derivative, integral, simple differential equations) and thermodynamics (concepts of first law and second law, properties of fluids, heat effects).;Biology & Life SciencesEngineeringPhysics;Transport PhenomenaEngineeringHeat TransferMass Transfer;The Basics of Transport Phenomena (edX);Delft University of Technology
NovoEd;USA;4 Weeks;1 hour/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Oct 21st 2015;Business & ManagementPersonal & Professional Development;InnovationSocial Entrepreneurship; Driving Adoption of Innovation at the Bottom of the Pyramid (NovoEd); Driving Adoption of Innovation at the Bottom of the Pyramid (NovoEd);#NOM?
edX;Belgium;8 Weeks;6-8 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Oct 21st 2015;A background in statistics and economics at the undergraduate level is assumed.;Economics & Finance;EconomicsMacroeconomicsForecasting;Macroeconomic Forecasting (edX);International Monetary Fund (IMF)
edX;India;6 Weeks;5-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 20th 2015;Basic analytical and logical reasoning skills: the ability to understand and draw simple graphs and knowledge of elementary (10th standard, high school) algebra.;Business & ManagementEconomics & Finance;MicroeconomicsEconomicsBusinessManager;Introduction to Managerial Economics (edX);Indian Institute of Management
edX;Netherlands;7 Weeks;3-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 20th 2015;None.;Art, Architecture, and DesignBusiness & ManagementEngineering;SustainabilityCircular EconomyDesign;Circular Economy: An Introduction (edX);Delft University of Technology
openSAP;Germany;1 Week;3-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Oct 20th 2015;There are no formal requirements for this course.;Business & ManagementInformation, Technology, and Design;BusinessDigital TransformationDigitalDigital EconomyBusiness Networks;SAP Business Networks in a Nutshell (openSAP);SAP
Coursera;Hong Kong;7 Weeks;3-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Oct 20th 2015;HumanitiesSocial Sciences;ChinaChinese Politics;Chinese Politics Part 1 - China and Political Science (Coursera);Chinese Politics Part 1 - China and Political Science (Coursera);The Hong Kong University of Science and Technology
edX;Canada;5 Weeks;8-12 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 20th 2015;Basic secondary school (high school) math. No programming experience required, but many experienced programmers take this course to become better programmers.;Computer Science: Programming & Software Engineering;ProgrammingAbstraction;Systematic Program Design - Part 3: Abstraction, Search and Graphs (edX);The University of British Columbia
edX;India;3 Weeks;8 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 20th 2015;Knowledge of high school mathematics is essential and adequate. Exposure to pre-calculus is desirable. Knowledge of basic programming concepts, as covered in CS101.1x is necessary.;Computer Science: Programming & Software Engineering;Computer ProgrammingProgrammingObject-OrientedObject-Oriented Programming;CS101.2x: Introduction to Computer Programming, Part 2 (edX);IIT Bombay
edX;USA;10 Weeks;15 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 20th 2015;6.00.1x: Introduction to Computer Science and Programming Using Python or equivalent (some prior programming experience in Python and a rudimentary knowledge of computational complexity). ;Computer Science: Programming & Software EngineeringComputer Science: Theory;Computer ScienceComputational SciencesData SciencePythonPlottingMonte Carlo Methods;6.00.2x: Introduction to Computational Thinking and Data Science (edX);MIT
